interface,mac,cid,ipaddr,hostname,descr
,DC:A6:32:43:32:35,piquatre,192.168.86.2,piquatre,piquatre
,B8:27:EB:72:C6:6E,pitrois,192.168.86.3,pitrois,pitrois
,B8:27:EB:65:D7:DC,pizero,192.168.86.4,pizero,pizero
,08:BE:AC:3C:69:E3,picinq,192.168.86.5,picinq,picinq
,A0:47:D7:20:54:72,lepotato,192.168.86.6,lepotato,lepotato
,B8:27:EB:32:CC:77,piVinyl,192.168.86.7,piVinyl,piVinyl
,3C:33:00:00:82:F2,zimaboard,192.168.86.8,zimaboard,zimaboard
,96:83:C4:0E:6E:F7,gl-mt300n-v2,192.168.86.10,gl-mt300n-v2,gl-mt300n-v2
,34:E1:D1:80:63:FE,hubitat-c5-1,192.168.86.20,hubitat-c5-1,hubitat-c5-1
,34:EA:34:42:B6:FD,tradfrigw-a0cc2b6f8b97,192.168.86.21,tradfrigw-a0cc2b6f8b97,tradfrigw-a0cc2b6f8b97
,00:03:7F:9A:6E:3F,myq-3d4,192.168.86.22,myq-3d4,myq-3d4
,64:52:99:C1:AC:E7,blink_sync_module,192.168.86.23,blink_sync_module,blink_sync_module
,A0:CC:2B:6F:8B:97,rmmini-42-b6-fd,192.168.86.24,rmmini-42-b6-fd,rmmini-42-b6-fd
,34:E1:D1:80:5F:C2,hubitat-c5-2,192.168.86.25,hubitat-c5-2,hubitat-c5-2
,34:7E:5C:F2:17:32,symfonisk1,192.168.86.30,symfonisk1,symfonisk1
,34:7E:5C:F2:1B:E6,symfonisk2,192.168.86.31,symfonisk2,symfonisk2
,C4:38:75:E5:89:38,era-study,192.168.86.32,era-study,era-study
,5C:AA:FD:CC:5F:70,one-study,192.168.86.33,one-study,one-study
,5C:AA:FD:B2:89:B4,one-sl1,192.168.86.34,one-sl1,one-sl1
,5C:AA:FD:B2:88:40,one-sl2,192.168.86.35,one-sl2,one-sl2
,38:42:0B:D3:C6:2A,arc-living-room,192.168.86.36,arc-living-room,arc-living-room
,F0:F6:C1:0B:70:80,sonos-sub,192.168.86.37,sonos-sub,sonos-sub
,54:2A:1B:91:1A:9C,beam-kitchen,192.168.86.38,beam-kitchen,beam-kitchen
,94:9F:3E:B5:00:8C,connect-yamaha,192.168.86.39,connect-yamaha,connect-yamaha
,F0:F6:C1:AC:97:14,era-vinyl,192.168.86.40,era-vinyl,era-vinyl
,D4:12:43:E9:E9:0A,soundform-bose-jl,192.168.86.41,soundform-bose-jl,soundform-bose-jl
,D4:12:43:E9:DE:30,soundform-bose-rachel,192.168.86.42,soundform-bose-rachel,soundform-bose-rachel
,D4:12:43:E9:B9:40,soundform-yamaha,192.168.86.43,soundform-yamaha,soundform-yamaha
,10:2C:6B:75:78:26,soundform-marshall,192.168.86.44,soundform-marshall,soundform-marshall
,2C:AA:8E:5E:40:26,wyzecam-office,192.168.86.45,wyzecam-office,wyzecam-office
,A4:DA:22:32:6E:E4,wyzecam-foyer,192.168.86.46,wyzecam-foyer,wyzecam-foyer
,A4:DA:22:34:86:AA,wyzecam-living-room,192.168.86.47,wyzecam-living-room,wyzecam-living-room
,2C:AA:8E:01:64:BD,wyzecam-garage,192.168.86.48,wyzecam-garage,wyzecam-garage
,A4:DA:22:31:3C:38,wyzecam-media-room,192.168.86.49,wyzecam-media-room,wyzecam-media-room
,00:71:47:E9:50:8C,echo-spot-office,192.168.86.60,echo-spot-office,echo-spot-office
,3C:5C:C4:C0:76:1F,echo-spot-jee,192.168.86.61,echo-spot-jee,echo-spot-jee
,3C:5C:C4:C2:CF:7D,echo-spot-rachel,192.168.86.62,echo-spot-rachel,echo-spot-rachel
,50:DC:E7:75:8D:26,echo-show-office,192.168.86.63,echo-show-office,echo-show-office
,50:DC:E7:14:27:70,echo-show-old,192.168.86.64,echo-show-old,echo-show-old
,DC:54:D7:E3:87:E7,echo-show-5,192.168.86.65,echo-show-5,echo-show-5
,68:9A:87:71:0E:4F,echo-sub-loft,192.168.86.67,echo-sub-loft,echo-sub-loft
,F6:A6:67:68:62:B3,echo-dot1-white,192.168.86.68,echo-dot1-white,echo-dot1-white
,68:37:E9:D0:D8:3C,echo-dot1-black,192.168.86.69,echo-dot1-black,echo-dot1-black
,F8:54:B8:D2:72:47,echo-dot2-office,192.168.86.70,echo-dot2-office,echo-dot2-office
,CC:F7:35:63:E5:F1,echo-dot2-media,192.168.86.71,echo-dot2-media,echo-dot2-media
,CC:F7:35:C4:9F:8E,echo-dot2-sport,192.168.86.72,echo-dot2-sport,echo-dot2-sport
